organization_name,discipline_name,grid_id,discipline_id,number_researchers,pct_insiders,pct_domesticoutsiders,pct_foreignoutsiders,grid_country_code,established_year,country_name,geo_region,latitude,longitude,continent
Australian National University,Earth Sciences,grid.1001.0,4,173,35.83815002441406,23.69942283630371,40.46242904663086,AU,1946,Australia,Oceania,-35.2778,149.1205,Oceania
Australian National University,All,grid.1001.0,99,2706,38.13747024536133,23.98373985290528,37.878787994384766,AU,1946,Australia,Oceania,-35.2778,149.1205,Oceania
Australian National University,Physical Sciences,grid.1001.0,2,309,35.92232894897461,15.857605934143066,48.22006607055664,AU,1946,Australia,Oceania,-35.2778,149.1205,Oceania
Australian National University,"Commerce, Management, Tourism and Services",grid.1001.0,15,57,40.35087966918945,22.807016372680664,36.84210586547852,AU,1946,Australia,Oceania,-35.2778,149.1205,Oceania
Australian National University,Agricultural and Veterinary Sciences,grid.1001.0,7,45,44.4444465637207,26.666667938232425,28.88888931274414,AU,1946,Australia,Oceania,-35.2778,149.1205,Oceania
Australian National University,Biological Sciences,grid.1001.0,6,414,38.16425323486328,25.36231803894043,36.47343063354492,AU,1946,Australia,Oceania,-35.2778,149.1205,Oceania
Australian National University,Medical and Health Sciences,grid.1001.0,11,348,34.482757568359375,37.6436767578125,27.87356376647949,AU,1946,Australia,Oceania,-35.2778,149.1205,Oceania
Australian National University,Mathematical Sciences,grid.1001.0,1,116,37.931034088134766,12.068964958190918,50.0,AU,1946,Australia,Oceania,-35.2778,149.1205,Oceania
Australian National University,Engineering,grid.1001.0,9,212,39.15094375610352,18.39622688293457,42.45283126831055,AU,1946,Australia,Oceania,-35.2778,149.1205,Oceania
Australian National University,Psychology and Cognitive Sciences,grid.1001.0,17,132,38.6363639831543,28.787878036499023,32.57575607299805,AU,1946,Australia,Oceania,-35.2778,149.1205,Oceania
Australian National University,Chemical Sciences,grid.1001.0,3,167,34.73053741455078,21.556884765625,43.71257400512695,AU,1946,Australia,Oceania,-35.2778,149.1205,Oceania
Australian National University,Environmental Sciences,grid.1001.0,5,113,42.477874755859375,30.088497161865234,27.43362808227539,AU,1946,Australia,Oceania,-35.2778,149.1205,Oceania
Australian National University,"Language, Communication and Culture",grid.1001.0,20,42,50.0,11.904762268066406,38.0952377319336,AU,1946,Australia,Oceania,-35.2778,149.1205,Oceania
Australian National University,History and Archaeology,grid.1001.0,21,52,53.84615707397461,23.076923370361328,23.076923370361328,AU,1946,Australia,Oceania,-35.2778,149.1205,Oceania
Australian National University,Information and Computing Sciences,grid.1001.0,8,140,31.428571701049805,19.28571510314941,49.28571319580078,AU,1946,Australia,Oceania,-35.2778,149.1205,Oceania
Australian National University,Studies in Human Society,grid.1001.0,16,164,42.68292617797852,26.21951103210449,31.09756088256836,AU,1946,Australia,Oceania,-35.2778,149.1205,Oceania
Australian National University,Technology,grid.1001.0,10,52,36.53845977783203,17.307693481445312,46.153846740722656,AU,1946,Australia,Oceania,-35.2778,149.1205,Oceania
Australian National University,Economics,grid.1001.0,14,96,42.70833587646485,20.83333206176757,36.45833587646485,AU,1946,Australia,Oceania,-35.2778,149.1205,Oceania
Monash University,Psychology and Cognitive Sciences,grid.1002.3,17,399,35.08771896362305,43.60902404785156,21.303258895874023,AU,1958,Australia,Oceania,-37.9083,145.138,Oceania
Monash University,Built Environment and Design,grid.1002.3,12,32,53.125,21.875,25.0,AU,1958,Australia,Oceania,-37.9083,145.138,Oceania
Monash University,Medical and Health Sciences,grid.1002.3,11,1976,29.453441619873047,48.329959869384766,22.216598510742188,AU,1958,Australia,Oceania,-37.9083,145.138,Oceania
Monash University,Earth Sciences,grid.1002.3,4,112,28.571430206298828,26.78571319580078,44.64285659790039,AU,1958,Australia,Oceania,-37.9083,145.138,Oceania
Monash University,Studies in Human Society,grid.1002.3,16,212,46.22641372680664,32.54716873168945,21.22641563415528,AU,1958,Australia,Oceania,-37.9083,145.138,Oceania
Monash University,Engineering,grid.1002.3,9,428,27.80373764038086,29.90654182434082,42.28971862792969,AU,1958,Australia,Oceania,-37.9083,145.138,Oceania
Monash University,Environmental Sciences,grid.1002.3,5,85,32.94117736816406,38.82352828979492,28.23529624938965,AU,1958,Australia,Oceania,-37.9083,145.138,Oceania
Monash University,Law and Legal Studies,grid.1002.3,18,35,57.142860412597656,37.14285659790039,5.714285850524902,AU,1958,Australia,Oceania,-37.9083,145.138,Oceania
