organization_name,for_division,grid_id,for_division_id,researchers,ResSameInst,ResSameCountry,ResOtherInstSameCountry,ResOtherCountry,country_code,latitude,longitude,univ_id
California Institute of Technology,Earth Sciences,grid.20861.3d,04,235,0.2425531914893617,0.7659574468085106,0.5234042553191489,0.2340425531914894,US,34.138577,-118.125494,1269
University of Central Florida,Earth Sciences,grid.170430.1,04,28,0.07142857142857142,0.75,0.6785714285714286,0.24999999999999997,US,28.6016,-81.2005,1462
Ewha Womans University,Earth Sciences,grid.255649.9,04,12,0.25,0.75,0.5,0.25,KR,37.563069,126.946743,2380
George Washington University,Earth Sciences,grid.253615.6,04,18,0.3333333333333333,0.8888888888888888,0.5555555555555556,0.1111111111111111,US,38.899973,-77.048642,1309
University of Illinois at Chicago,Earth Sciences,grid.185648.6,04,22,0.22727272727272727,0.6363636363636364,0.40909090909090906,0.36363636363636365,US,41.875307,-87.6579,1194
Gunma University,Earth Sciences,grid.256642.1,04,1,1.0,1.0,0.0,0.0,JP,36.430278,139.045,1530
Mie University,Earth Sciences,grid.260026.0,04,10,0.1,0.9,0.8,0.09999999999999995,JP,34.746071,136.524447,1117
Mississippi State University,Earth Sciences,grid.260120.7,04,21,0.38095238095238093,0.8571428571428571,0.47619047619047616,0.1428571428571429,US,33.454,-88.789,1473
National Taiwan Ocean University,Earth Sciences,grid.260664.0,04,27,0.6296296296296297,0.7777777777777778,0.14814814814814814,0.2222222222222222,TW,25.150107,121.777702,9790
Nihon University,Earth Sciences,grid.260969.2,04,7,0.42857142857142855,1.0,0.5714285714285714,5.551115123125783e-17,JP,35.691,139.737608,1443
"University of California, Irvine",Earth Sciences,grid.266093.8,04,99,0.26262626262626265,0.7777777777777778,0.5151515151515151,0.2222222222222222,US,33.64535,-117.842642,1225
Syracuse University,Earth Sciences,grid.264484.8,04,28,0.21428571428571427,0.8571428571428571,0.6428571428571428,0.14285714285714293,US,43.03767,-76.13399,1300
Niigata University,Earth Sciences,grid.260975.f,04,22,0.4090909090909091,0.9090909090909091,0.49999999999999994,0.09090909090909088,JP,37.866944,138.9425,1103
Binghamton University,Earth Sciences,grid.264260.4,04,8,0.25,0.875,0.625,0.125,US,42.08925,-75.96989,3492
Rensselaer Polytechnic Institute,Earth Sciences,grid.33647.35,04,15,0.4666666666666667,1.0,0.5333333333333333,0.0,US,42.730393,-73.678814,1304
Nagoya University,Earth Sciences,grid.27476.30,04,98,0.3877551020408163,0.9081632653061225,0.5204081632653061,0.09183673469387754,JP,35.154722,136.966944,1102
Kobe University,Earth Sciences,grid.31432.37,04,33,0.30303030303030304,0.9090909090909091,0.606060606060606,0.090909090909091,JP,34.728056,135.234722,1098
National Tsing Hua University,Earth Sciences,grid.38348.34,04,7,0.5714285714285714,0.5714285714285714,0.0,0.4285714285714286,TW,24.793611,120.992778,2417
Panjab University,Earth Sciences,grid.261674.0,04,20,0.8,1.0,0.19999999999999996,0.0,IN,30.760877,76.76536,2458
Federal University of Para,Earth Sciences,grid.271300.7,04,38,0.631578947368421,0.868421052631579,0.23684210526315796,0.13157894736842102,BR,-1.474348,-48.453234,1497
Karadeniz Technical University,Earth Sciences,grid.31564.35,04,25,0.88,1.0,0.12,0.0,TR,40.992428,39.768364,749
University Of Thessaly,Earth Sciences,grid.410558.d,04,12,0.5,0.8333333333333334,0.33333333333333337,0.16666666666666663,GR,39.357718,22.950794,373
"University of Maryland, Baltimore",Earth Sciences,grid.411024.2,04,4,0.0,0.5,0.5,0.5,US,39.287725,-76.623583,1174
Brown University,Earth Sciences,grid.40263.33,04,53,0.3584905660377358,0.8113207547169812,0.45283018867924535,0.18867924528301877,US,41.8262,-71.4032,1278
Kansas State University,Earth Sciences,grid.36567.31,04,25,0.36,0.8,0.44000000000000006,0.19999999999999996,US,39.197244,-96.587815,1242
University of Chinese Academy of Sciences,Earth Sciences,grid.410726.6,04,670,0.15671641791044777,0.926865671641791,0.7701492537313432,0.07313432835820899,CN,39.909057,116.250572,10435
University of Hawaii at Manoa,Earth Sciences,grid.410445.0,04,154,0.34415584415584416,0.7597402597402597,0.41558441558441556,0.24025974025974034,US,21.300116,-157.817622,1218
Western University,Earth Sciences,grid.39381.30,04,75,0.3333333333333333,0.68,0.34666666666666673,0.32,CA,43.00984,-81.273755,1075
Sao Paulo State University,Earth Sciences,grid.410543.7,04,68,0.6470588235294118,0.9411764705882353,0.2941176470588235,0.05882352941176472,BR,-22.8172,-47.0694,1461
Federal University of Pernambuco,Earth Sciences,grid.411227.3,04,52,0.5961538461538461,0.8461538461538461,0.25,0.15384615384615385,BR,-8.051667,-34.950833,1481
University of Agriculture in Krakow,Earth Sciences,grid.410701.3,04,12,1.0,1.0,0.0,0.0,PL,50.064444,19.925833,962
Universidade Federal de Santa Catarina,Earth Sciences,grid.411237.2,04,33,0.45454545454545453,0.9696969696969697,0.5151515151515151,0.03030303030303033,BR,-27.601111,-48.52,1460
University of Groningen,Physical Sciences,grid.4830.f,02,193,0.37823834196891193,0.5440414507772021,0.1658031088082902,0.4559585492227979,NL,53.219443,6.562966,485
University of Udine,Physical Sciences,grid.5390.f,02,36,0.3888888888888889,0.8611111111111112,0.47222222222222227,0.13888888888888878,IT,46.080833,13.211667,457
Cardiff University,Physical Sciences,grid.5600.3,02,181,0.27071823204419887,0.6629834254143646,0.39226519337016574,0.3370165745856354,GB,51.4877,-3.179,849
University of Münster,Physical Sciences,grid.5949.1,02,154,0.35064935064935066,0.7467532467532467,0.39610389610389607,0.2532467532467533,DE,51.963425,7.613398,883
Imperial College London,Physical Sciences,grid.7445.2,02,567,0.3403880070546737,0.63668430335097,0.29629629629629634,0.36331569664903,GB,51.4986,-0.175478,318
Ryerson University,Physical Sciences,grid.68312.3e,02,40,0.3,0.75,0.45,0.25000000000000006,CA,43.657736,-79.380178,3573
University of Alicante,Physical Sciences,grid.5268.9,02,59,0.5932203389830508,0.8813559322033898,0.288135593220339,0.11864406779661019,ES,38.384639,-0.513147,622
University of Delhi,Physical Sciences,grid.8195.5,02,107,0.6915887850467289,0.9439252336448598,0.25233644859813087,0.05607476635514019,IN,28.583333,77.166667,2452
King Saud University,Physical Sciences,grid.56302.32,02,139,0.2589928057553957,0.2733812949640288,0.014388489208633115,0.7266187050359711,SA,24.723982,46.64584,1374
Adam Mickiewicz University in Poznań,Physical Sciences,grid.5633.3,02,114,0.7982456140350878,0.9210526315789473,0.12280701754385959,0.07894736842105265,PL,52.408803,16.915402,522
Coventry University,Physical Sciences,grid.8096.7,02,17,0.058823529411764705,0.5294117647058824,0.47058823529411764,0.47058823529411764,GB,52.406654,-1.501672,288
University of East Anglia,Physical Sciences,grid.8273.e,02,45,0.37777777777777777,0.7333333333333333,0.3555555555555555,0.2666666666666667,GB,52.621667,1.241667,797
University of Gdańsk,Physical Sciences,grid.8585.0,02,54,0.8148148148148148,0.9074074074074074,0.09259259259259267,0.09259259259259256,PL,54.396173,18.577624,507
Pohang University of Science and Technology,Physical Sciences,grid.49100.3c,02,194,0.5154639175257731,0.7783505154639175,0.2628865979381444,0.22164948453608246,KR,36.014146,129.323163,2407
University of Lille,Physical Sciences,grid.503422.2,02,170,0.2529411764705882,0.8235294117647058,0.5705882352941176,0.17647058823529416,FR,50.631697,3.075126,10432
University of Auckland,Physical Sciences,grid.9654.e,02,127,0.4330708661417323,0.4881889763779528,0.055118110236220486,0.5118110236220472,NZ,-36.852304,174.767734,1122
University of Cologne,Physical Sciences,grid.6190.e,02,177,0.3220338983050847,0.7627118644067796,0.4406779661016949,0.23728813559322043,DE,50.928056,6.928611,252
University of Exeter,Physical Sciences,grid.8391.3,02,159,0.1761006289308176,0.6289308176100629,0.4528301886792453,0.37106918238993714,GB,50.737341,-3.535159,299
University of Hull,Physical Sciences,grid.9481.4,02,28,0.2857142857142857,0.6785714285714286,0.3928571428571429,0.3214285714285714,GB,53.770263,-0.367141,305
Lancaster University,Physical Sciences,grid.9835.7,02,124,0.2661290322580645,0.7016129032258065,0.435483870967742,0.2983870967741935,GB,54.010747,-2.790304,794
University of Birmingham,Physical Sciences,grid.6572.6,02,222,0.3108108108108108,0.6351351351351351,0.3243243243243243,0.36486486486486486,GB,52.450556,-1.930556,277
Versailles Saint-Quentin-en-Yvelines University,Chemical Sciences,grid.12832.3a,03,37,0.2702702702702703,0.8378378378378378,0.5675675675675675,0.16216216216216217,FR,48.799722,2.140833,2580
University of Queensland,Chemical Sciences,grid.1003.2,03,402,0.32587064676616917,0.5497512437810945,0.22388059701492535,0.4502487562189055,AU,-27.495964,153.009627,1055
University of Ghana,Physical Sciences,grid.8652.9,02,2,1.0,1.0,0.0,0.0,GH,5.650833,-0.186944,9301
Martin Luther University Halle-Wittenberg,Physical Sciences,grid.9018.0,02,71,0.323943661971831,0.7605633802816901,0.43661971830985913,0.23943661971830987,DE,51.486389,11.968889,876
University of the Witwatersrand,Chemical Sciences,grid.11951.3d,03,99,0.47474747474747475,0.7777777777777778,0.30303030303030304,0.22222222222222227,ZA,-26.190833,28.030278,1147
Johannes Kepler University of Linz,Physical Sciences,grid.9970.7,02,88,0.4772727272727273,0.5681818181818182,0.09090909090909094,0.43181818181818177,AT,48.3375,14.3175,14
Rockefeller University,Chemical Sciences,grid.134907.8,03,31,0.12903225806451613,0.7096774193548387,0.5806451612903226,0.29032258064516125,US,40.7625,-73.955556,1261
